Gene Name	Reference	Strand	Start	End	Y-HSC_1	Y-HSC_2	A-HSC_1	A-HSC_2	Y-MPP1_1	Y-MPP1_2	A-MPP1_1	A-MPP1_2	Y-MPP2_1	Y-MPP2_2	A-MPP2_1	A-MPP2_2	Y-MPP3_1	Y-MPP3_2	A-MPP3_1	A-MPP3_2	Y-MPP4_1	Y-MPP4_2	A-MPP4_1	A-MPP4_2	
Uox	chr3	+	146597149	146631483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Unkl	chr17	+	25188400	25234443	9.74949	8.340155	11.204614	8.129222	7.96563	9.451656	8.365766	8.362997	6.980168	8.929507	5.543571	5.82344	8.068015	8.728176	6.404614	5.627004	8.770804	7.06293	6.288285	6.53095	
Unk	chr11	+	116030316	116061214	20.112049	21.151548	19.247393	19.095474	21.830284	21.5336	20.587605	20.581203	20.524094	20.585638	19.839245	19.162359	18.503456	19.355116	17.522261	20.173717	21.598616	21.752228	20.261881	23.06963	
Ung	chr5	+	114130435	114139321	1.617503	1.645076	2.205996	2.381274	3.409112	3.82049	5.852959	6.008394	5.31192	5.276595	5.212982	5.114291	5.153945	6.037843	6.290989	5.724122	5.440426	5.172904	5.705254	5.395635	
Uncx	chr5	+	139543898	139548178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Unc93b1	chr19	+	3935186	3949340	62.699104	64.677017	52.804745	58.102657	57.927559	55.72879	45.05526	45.780518	44.454014	49.547672	33.889545	33.468929	62.163685	71.706413	45.933868	47.782326	84.591606	85.737335	78.430412	80.598602	
Unc93a	chr17	-	13108617	13131791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Unc80	chr1	+	66468447	66699148	0	0	0	0	0	0	0	0	0	0	0	0.007948	0	0	0	0	0	0	0	0	
Unc79	chr12	+	102948859	103183997	0.270422	0.37751	0.22723	0.301724	0.470336	0.410553	0.509457	0.356194	0.201344	0.331557	0.257252	0.236574	0.284822	0.367875	0.382078	0.308138	0.253893	0.257808	0.33122	0.303307	
Unc5d	chr8	-	28646717	29219636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Unc5cl	chr17	+	48454901	48468684	1.875648	0.898042	0.557813	0.693554	1.280464	1.284408	1.313479	1.133257	1.132868	1.2063	1.004951	0.664064	1.098336	1.266023	1.040811	0.949081	0.979066	0.941097	0.723084	0.504415	
Unc5c	chr3	+	141465564	141834924	0	0	0	0	0	0	0	0.017469	0	0	0	0	0	0	0	0	0	0	0	0	
Unc5b	chr10	-	60762595	60831581	0.120692	0.093769	0.309184	0.147293	0.030482	0.050055	0	0.055708	0	0	0.022513	0	0	0.022246	0	0.020254	0.017853	0	0	0	
Unc5a	chr13	+	54949432	55006018	5.518944	4.739427	7.167677	10.737598	5.788746	5.699152	6.588609	7.35264	5.278084	5.179018	5.544254	6.181705	5.780665	5.008705	5.653708	5.966128	5.96871	5.771387	5.410082	6.508736	
Unc50	chr1	+	37430172	37439124	45.975475	54.363358	46.381241	45.008793	39.673439	43.330631	42.283443	40.666462	37.15266	35.976517	42.354317	40.536274	38.78437	38.199085	42.193874	38.501179	37.359539	37.893066	38.135334	36.769371	
Unc45b	chr11	+	82911253	82943406	3.05399	3.199639	2.325236	3.600741	1.6764	2.000845	1.156495	1.334223	0.269354	0.405531	0.188795	0.484275	0.800574	0.569564	0.230835	0.250916	0.35387	0.411315	0	0	
Unc45a	chr7	-	80325292	80340219	20.978352	22.435198	21.606579	22.647945	19.865976	19.928928	20.58334	18.032782	18.168018	18.832108	17.947802	17.86022	18.883257	20.984982	15.767838	17.910402	19.144161	17.444925	17.699221	17.213003	
Unc13d	chr11	-	116062096	116077961	81.117348	82.04821	74.104156	86.368385	68.075043	69.461533	55.500229	56.193718	55.973495	55.811954	41.505959	40.474911	52.919033	58.705799	41.914757	46.724709	56.508842	52.242901	41.330784	42.560532	
Unc13c	chr9	-	73479424	73933567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Unc13b	chr4	+	43058984	43264887	1.078405	1.103214	1.591939	2.149163	0.820834	0.318067	1.371367	0.794791	0.280357	0.131826	0.481528	0.515054	0.064523	0.122864	0.385909	0.177269	0.065733	0.029897	0	0.053784	
Unc13a	chr8	-	71626712	71671757	0.150669	0.191521	0.376904	0.293417	0.271851	0.28348	0.303156	0.3143	0.354826	0.270561	0.250007	0.33783	0.28643	0.29515	0.302599	0.420518	0.335225	0.288032	0.290665	0.342249	
Unc119b	chr5	-	115122566	115134975	18.535307	18.06287	11.858256	13.484435	21.043844	20.105465	16.662264	17.375679	19.905622	19.836275	16.767759	14.449548	19.77459	21.856663	16.295021	17.402969	26.051039	23.487286	21.017023	22.571566	
Unc119	chr11	+	78343522	78349156	57.273911	58.298462	41.436546	50.650848	48.13213	50.855995	41.032436	42.701103	49.151897	49.039497	36.595257	35.714409	39.082954	40.249355	27.244154	28.00395	22.331024	25.225855	14.976259	14.265746	
Umps	chr16	-	33955012	33967003	43.565418	42.349148	36.927811	34.568127	55.319233	60.521881	64.920174	65.150314	68.293663	69.907166	71.8582	72.207726	67.90892	73.103844	80.010216	86.935249	74.004219	77.624268	86.658302	87.761688	
Umodl1	chr17	+	30954683	31010710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Umod	chr7	-	119462708	119479262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Umad1	chr6	+	8259288	8428765	8.381129	10.509129	7.605911	5.987307	10.950778	10.226512	9.424895	9.881705	13.007718	11.346747	10.979339	12.826055	11.01075	10.337603	10.63685	10.802856	10.911662	10.704346	8.304944	9.10489	
Ulk4	chr9	-	120964454	121277172	0.121098	0.146576	0.214173	0.25456	0.672431	0.388882	0.179694	0.54767	0.20333	0.161895	0	0.026377	0.072036	0.576114	0	0.203982	0.927338	0.623063	0.28505	0.070157	
Ulk3	chr9	+	57589452	57596233	6.255663	5.986392	6.341743	5.815171	5.770515	5.000476	4.235594	4.051223	4.986867	5.125664	4.094573	4.163378	4.912092	5.486361	4.256253	4.008996	5.400384	5.012815	4.088745	4.416159	
Ulk2	chr11	-	61775598	61855092	13.596697	11.303019	13.131002	9.7537	16.132715	15.345208	14.233151	14.314543	15.37724	14.450576	12.393858	11.919046	14.482872	14.225947	11.968148	11.342361	16.582632	15.834598	10.575416	11.385922	
Ulk1	chr5	-	110784489	110810081	28.843201	25.939138	28.15193	32.311073	26.914366	24.443378	21.000748	21.019056	18.858559	20.714693	15.880344	16.271402	19.487988	18.685493	15.916558	12.897333	19.706503	15.821836	15.831348	13.826342	
Ulbp1	chr10	-	7444873	7473477	1.716197	1.968643	1.566653	1.379683	4.052497	4.211695	3.527902	4.20497	5.542701	4.846481	3.776748	5.346228	4.323853	4.127095	3.744291	4.079548	5.299907	5.060049	4.152491	3.525051	
Uimc1	chr13	-	55027880	55100300	5.8561	6.479675	6.656943	6.35716	9.366628	8.660628	7.132005	9.003418	10.400949	8.737205	7.90963	9.254047	8.846004	10.083795	8.194613	10.550126	12.315369	11.773317	8.412864	9.539975	
Uhrf2	chr19	+	30030513	30093724	28.141548	28.661736	28.801849	22.357834	34.256149	35.47319	32.078918	33.262539	35.523941	35.738678	31.831131	34.34251	29.288965	30.340754	29.59794	26.956009	32.126598	31.066704	27.33778	25.884684	
Uhrf1bp1l	chr10	+	89744991	89819869	7.230489	6.371038	9.414964	5.867971	8.612498	9.539893	9.763993	9.800122	12.110165	10.912185	10.269087	10.288164	10.831362	11.374267	9.647936	9.490049	11.626807	10.360224	9.004108	9.316358	
Uhrf1bp1	chr17	+	27856507	27900040	2.54458	1.394076	3.313523	2.179387	3.757532	3.575531	3.231264	4.037475	3.608946	3.529307	3.27393	2.904251	3.472963	2.716858	3.138361	2.045995	3.771309	2.217226	3.66242	2.941525	
Uhrf1	chr17	+	56303337	56323486	25.851118	25.260635	40.705261	38.371735	88.080162	83.069824	133.482651	135.903625	136.496078	135.62439	154.029541	151.440201	108.016792	105.826805	158.272903	162.194016	117.225098	109.35659	164.997345	163.165558	
Uhmk1	chr1	-	170199256	170215393	9.479053	8.257325	10.110312	5.977457	11.727627	10.284526	11.797846	11.652245	14.100163	11.924669	11.723775	9.357035	12.891375	9.053992	10.74332	8.529952	11.798982	8.98786	10.42447	8.69008	
Ugt8a	chr3	-	125865343	125938550	0.823618	0.27912	0.462715	0.257825	0.115945	0.130559	0.033935	0.030272	0.124057	0	0.046582	0.044831	0.03265	0	0	0	0	0	0.032653	0	
Ugt3a2	chr15	+	9335598	9370870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ugt3a1	chr15	+	9279829	9315036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ugt2b5	chr5	-	87124947	87140340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ugt2b38	chr5	-	87409940	87424203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ugt2b37	chr5	-	87240492	87254788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ugt2b36	chr5	-	87065927	87092555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ugt2b35	chr5	+	87000860	87013274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ugt2b34	chr5	-	86889770	86906937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ugt2b1	chr5	-	86916639	86926503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ugt2a3	chr5	-	87324972	87337195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ugt2a2	chr5	-	87459493	87482258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ugt2a1	chr5	-	87459490	87490871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ugt1a9	chr1	+	88070779	88220002	0.447248	0.558303	0.530653	0.3443	0.329314	0.603321	0.810204	0.796983	1.675834	0.986328	0.791959	0.779008	1.965409	0.418681	1.045948	0.867597	1.296471	1.409943	0.880329	1.637931	
Ugt1a7c	chr1	+	88095001	88220002	8.395738	11.951142	10.24862	10.175675	15.932828	16.560972	15.053672	14.120567	12.963601	13.466711	13.369508	14.267053	21.737516	21.870998	18.509209	22.291536	28.752316	31.891491	26.205496	25.686996	
Ugt1a6b	chr1	+	88103257	88218998	0.728652	0.03408	0.026613	0.035961	0.060739	0	0.027179	0.022376	0.027817	0	0.046118	0	0.044637	0.028461	0.074551	0.032793	0.082186	0.045203	1.4313	0.134468	
Ugt1a6a	chr1	+	88134809	88220002	0.470896	0.058894	0.01848	0.024974	0.079509	0	0.038177	0.032699	0.038633	0.018177	0.096981	0.032576	0.085509	0.039529	0.137594	0.059536	0.089985	0.069909	1.281161	0.428088	
Ugt1a5	chr1	+	88166012	88220002	0.448368	0.262277	0.249288	0.332045	0.329387	0	0.341048	0.284538	0	0.037418	0.635535	0.016765	0.471569	0	0.405105	0	0.287549	0.668588	0.675982	0.437527	
Ugt1a2	chr1	+	88200611	88220002	0.450958	0.262441	0.249444	0.376322	0.329593	0	0.34126	0.284716	0	0	0.638473	0	0.460946	0	0.405358	0.018533	0.32116	0.663147	0.683051	0.44352	
Ugt1a10	chr1	+	88055411	88220002	0.447083	0.817172	0.903856	0.333596	0.790404	0.709201	0.803707	1.076115	2.499549	1.273824	1.03366	1.287771	1.94594	1.122813	1.661957	1.294912	2.725854	1.525201	0.923829	2.055744	
Ugt1a1	chr1	+	88211959	88220002	0.446488	0.260571	0.312341	0.326436	0.327245	0	0.33883	0.282687	0	0.025472	0.63627	0	0.450103	0	0.402471	0	0.285678	0.745947	0.674507	0.459214	
Ugp2	chr11	-	21321126	21371267	22.766035	23.53721	24.607677	20.024544	22.217302	23.215191	21.281176	21.410585	21.680206	21.197454	21.51037	20.517324	22.419107	21.453382	19.99741	23.407566	21.605886	24.039686	18.759216	18.845375	
Uggt2	chr14	-	118984985	119099434	0.73956	0.704794	0.701342	0.783809	0.678318	0.679585	0.525202	0.468298	0.534328	0.449342	0.290541	0.340102	0.395905	0.572228	0.302092	0.328371	0.426122	0.409563	0.378853	0.270118	
Uggt1	chr1	-	36140028	36244302	12.363205	10.11404	15.494943	11.463266	16.022676	15.40976	20.662498	20.360912	18.607494	18.792439	22.280132	22.874125	18.597906	18.178488	22.37125	21.723528	15.116043	14.550418	21.78257	21.926414	
Ugdh	chr5	-	65413222	65435842	30.156357	27.532568	27.640924	25.233459	32.023632	30.288977	27.975248	27.257013	29.824261	27.58395	26.776012	27.348656	29.400084	29.947355	25.329782	27.459921	27.264832	27.724871	23.531397	24.356337	
Ugcg	chr4	+	59189550	59222833	34.33894	33.607487	27.791203	26.837669	29.796387	28.606531	23.467745	22.846056	27.692835	27.642389	23.112345	22.349634	28.398001	24.676275	23.012648	21.098202	26.334988	23.038622	20.188593	17.245228	
Ufsp2	chr8	+	45975528	45996956	15.541728	16.302507	14.41103	12.374966	17.507092	18.11623	17.371624	16.431179	17.712362	19.310053	19.881508	18.96941	19.736132	22.891806	18.579908	18.638874	17.989973	21.310127	18.731153	20.436584	
Ufsp1	chr5	+	137294669	137295664	1.343439	1.624951	1.032051	2.745546	1.322728	1.237417	1.817879	1.272498	1.685302	1.922287	1.795443	1.673056	0.943821	1.048369	1.426915	1.085734	1.050787	1.084198	1.118925	1.263913	
Ufm1	chr3	-	53853376	53863807	9.906524	9.60512	9.649977	7.880233	10.091997	10.301349	10.209244	10.526773	10.505378	10.982056	10.655537	11.493031	11.308345	10.915044	11.916212	8.842567	10.11139	11.384968	9.97374	10.723465	
Ufl1	chr4	-	25248586	25281821	10.708368	10.419114	10.831141	7.018738	10.812306	12.056932	9.173751	9.941087	10.361765	10.259256	8.242174	8.895733	10.272147	11.478253	8.959413	9.800278	9.954865	11.239183	8.201632	8.72172	
Ufd1l	chr16	+	18812294	18835261	35.113914	40.127819	29.183418	28.944372	30.452641	31.2295	29.338358	28.769543	28.463533	24.876997	26.147863	28.661158	28.375912	29.720098	27.92543	28.998297	29.890896	31.27951	25.972954	26.217346	
Ufc1	chr1	-	171288564	171294982	53.719891	59.627235	53.312168	58.469597	48.463009	52.688339	54.356556	49.158623	47.060547	49.840229	49.447517	49.121239	51.187302	50.459003	49.155018	45.714462	50.405972	53.373672	49.991291	47.879105	
Uevld	chr7	-	46923216	46958518	6.075801	4.579249	6.884938	5.162433	7.782928	8.414256	7.055735	7.778412	8.356285	7.51591	7.702989	8.96571	5.675063	5.780277	7.667527	6.318949	7.354592	7.345549	6.414907	6.198196	
Ucp3	chr7	+	100472991	100486432	0	0	0	0	0	0.071979	0	0	0.052111	0	0	0	0	0.106635	0	0	0	0.051897	0	0	
Ucp2	chr7	+	100493358	100499629	310.329651	308.425385	277.645447	333.375397	384.413239	401.545898	378.839752	368.272034	444.208557	465.11972	369.117889	366.100342	480.095184	499.564575	376.646393	381.157135	465.162292	483.047607	434.444855	463.590271	
Ucp1	chr8	+	83290348	83298456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ucn3	chr13	-	3940688	3945349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ucn2	chr9	+	108986163	108987164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ucn	chr5	-	31137989	31138895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ucma	chr2	+	4976122	4985748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Uckl1os	chr2	+	181578480	181585115	0.384554	0.276554	0.266341	0.487343	0.172709	0.232846	0.121043	0.469418	0.126429	0.089225	0.276923	0.213211	0.259044	0.226376	0.270871	0.176661	0.511817	0.188864	0.087351	0.283552	
Uckl1	chr2	-	181569153	181581973	16.599636	16.190161	18.950846	20.677402	19.320829	19.807833	19.975218	18.481241	17.496916	18.971663	18.608679	19.70047	16.470818	16.917374	17.876335	20.977623	21.126123	17.509289	18.8335	20.485683	
Uck2	chr1	-	167226084	167285127	48.053219	50.936695	48.079369	52.019226	55.070637	57.43885	62.202518	64.64119	62.169144	59.911728	64.861244	67.784691	65.978668	59.087124	69.191315	72.784813	62.99559	58.933338	80.239296	84.069374	
Uck1	chr2	-	32255002	32260105	51.569077	53.924999	39.81366	46.971355	48.588348	50.594555	48.917492	48.149586	49.111866	45.898476	48.164734	45.402775	43.652573	45.818153	45.085041	44.562805	48.950218	45.494259	43.81274	41.692104	
Uchl5	chr1	+	143777278	143807466	30.098623	29.323	43.876717	36.420372	48.17495	46.417091	64.642792	62.73711	59.076675	60.477055	84.046364	82.421021	59.928867	63.546116	83.944641	93.380951	51.856995	60.724838	81.501129	87.291924	
Uchl4	chr9	+	64235201	64236362	2.601543	2.617532	3.353443	2.562562	3.048174	3.058512	3.886695	3.86789	4.034936	3.977575	4.905406	4.905385	4.196632	4.076471	4.939323	4.755412	3.296589	3.717251	4.930236	4.6535	
Uchl3	chr14	+	101653967	101696125	30.951483	33.283154	36.266376	38.349438	37.171303	39.999645	51.780796	50.94556	47.046967	49.143826	58.664291	61.429752	45.948315	46.617153	62.568211	65.905045	39.562611	49.206203	58.904678	56.649632	
Uchl1os	chr5	-	66626495	66676497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Uchl1	chr5	+	66676121	66687234	5.238328	7.493052	10.134295	14.33795	5.613038	6.861869	10.754431	11.113882	5.116001	5.024235	7.050761	7.174137	6.454105	7.452573	8.678222	8.513685	14.429545	13.510957	15.317972	14.865604	
Ubxn8	chr8	-	33619586	33641976	22.023067	24.073792	20.74523	21.853043	20.621033	19.270626	19.113203	15.785673	16.257721	18.004551	16.16783	14.758548	19.828304	17.576294	17.359385	16.761717	18.563818	21.466894	16.749701	16.873064	
Ubxn7	chr16	+	32332252	32393747	2.140334	1.839554	2.42918	1.511448	2.51621	2.40927	2.081203	2.322773	2.392437	2.22632	2.022908	2.043213	2.245131	1.991098	1.820384	2.615165	2.510611	2.220083	2.337501	1.829443	
Ubxn6	chr17	-	56068253	56074989	59.815449	57.420273	51.69495	55.631237	42.635342	44.860336	37.331478	37.627647	36.150051	37.604557	35.059402	33.476658	38.722111	39.512539	31.220722	33.861099	44.511269	43.944244	35.005848	36.339588	
Ubxn4	chr1	+	128244181	128279377	21.61121	21.52129	19.646236	20.854828	20.667435	22.469416	16.777224	16.736919	18.382835	18.507957	14.624561	16.028757	21.786455	23.404303	14.195645	18.693661	21.206486	21.232544	14.523069	17.664825	
Ubxn2b	chr4	+	6191105	6219788	4.127112	3.924088	4.583491	3.623788	4.797121	4.093502	4.514285	4.809013	4.445965	4.209127	4.767673	4.687091	3.846337	4.34407	4.652317	4.266485	3.616878	3.94431	4.318664	3.699714	
Ubxn2a	chr12	-	4879032	4907520	15.932133	17.398247	18.576296	15.22798	21.246611	20.215536	21.02898	20.128231	24.517962	23.587206	20.113264	21.251007	21.360203	24.980316	17.163368	21.705811	19.078922	20.166079	17.208233	17.288162	
Ubxn11	chr4	+	134102583	134126780	1.049165	2.266083	2.098184	1.734607	3.0745	2.029652	2.710603	3.208548	3.466889	3.626392	3.243612	3.036425	4.114315	3.972767	4.724418	4.120951	4.621061	3.84135	5.112404	6.079484	
Ubxn10	chr4	-	138709837	138738438	0	0	0	0	0	0.035425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ubxn1	chr19	+	8871559	8875656	100.522774	107.711845	102.252007	106.672783	92.618721	94.411407	104.775772	106.144402	94.866959	97.423409	109.1642	107.087036	93.132469	95.855362	92.865089	102.464081	87.038986	102.717278	103.032768	111.111603	
Ubtfl1	chr9	+	18404418	18411502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ubtf	chr11	-	102304563	102319096	32.940948	36.619705	35.348965	32.797775	35.692749	41.297005	43.012093	41.663551	42.649994	41.755367	41.597393	41.902344	42.342449	44.97485	41.33144	42.997116	46.620701	44.274376	45.019154	40.66053	
Ubtd2	chr11	+	32455372	32518709	5.654101	5.587307	4.532146	4.868403	7.033769	6.926417	5.985758	6.343821	7.473981	6.769262	7.004133	6.652165	5.740933	7.291996	7.427362	5.643512	5.9239	6.787891	6.513736	6.472885	
Ubtd1	chr19	+	41981763	42034641	9.659772	11.77878	9.358311	11.465226	10.468957	9.831569	9.583138	7.990821	9.138639	7.682814	7.75362	6.77184	10.496893	9.060461	8.136631	8.200492	6.690942	6.781285	6.024619	5.784536	
Ubr7	chr12	+	102757975	102777701	23.814123	24.933706	23.195234	19.149185	30.56818	33.865051	37.797482	39.736145	37.879002	38.719193	42.029976	41.599377	31.722383	30.948212	43.21489	39.897766	28.614462	31.793882	34.836666	37.366528	
Ubr5	chr15	-	37967328	38078854	10.62309	8.785778	11.162287	7.620842	13.702765	11.356833	13.823081	13.809546	14.444562	13.86634	14.209674	14.12102	12.262831	8.854374	12.910696	8.126409	14.497561	7.625892	13.849676	9.806835	
Ubr4	chr4	+	139380659	139489532	7.726959	5.887475	10.22928	7.956139	9.901248	8.156037	9.755285	8.569943	9.71396	9.054675	7.979336	8.135892	9.380329	7.43588	7.985064	4.834137	9.52832	6.005744	8.789065	6.537923	
Ubr3	chr2	+	69897246	70024010	8.210058	5.382836	7.345583	5.377789	8.960966	8.260248	8.375471	8.36427	9.190738	8.221353	8.521507	8.459079	8.620106	6.233332	7.139636	5.832591	8.826098	5.83538	7.715083	5.902091	
Ubr2	chr17	-	46928291	47010532	14.612783	12.376059	13.156416	9.860524	16.372601	14.571133	14.187259	14.161545	16.716442	15.9039	13.805678	14.652572	14.277144	12.707788	12.246449	12.899715	15.383766	12.363626	11.854472	11.784165	
Ubr1	chr2	-	120860276	120970715	6.810378	5.416193	7.524818	3.990952	7.055162	6.222819	6.184232	6.594075	6.919365	6.877162	6.382413	6.108435	6.720504	6.028854	6.097837	6.340322	6.774076	5.468316	5.585484	6.111247	
Ubqlnl	chr7	-	104148259	104150556	0	0.072857	0.087708	0.095103	0.051882	0.127797	0	0.094819	0	0.104472	0.048636	0	0.076701	0.056798	0.047573	0.155136	0.113953	0.165852	0.102278	0	
Ubqln4	chr3	+	88553716	88569725	34.198067	32.933773	27.236082	31.240263	36.60667	35.395771	33.431461	36.032993	34.844627	34.778339	32.675564	33.632458	32.075649	31.954073	31.323565	34.395947	32.864532	30.28248	36.054226	35.310772	
Ubqln3	chr7	-	104140623	104143272	0	0	0.170159	0.207568	0.100655	0.247934	0.103109	0.253319	0	0.05067	0.070768	0.204324	0.223206	0.082643	0.207664	0.075243	0	0.348576	0.148818	0.193232	
Ubqln2	chrX	+	153498232	153501558	15.650185	13.067867	15.545121	16.140827	12.597115	10.598703	10.094152	9.298255	10.256371	9.416523	7.789266	8.373454	9.571989	8.513807	7.952281	6.304544	8.390096	7.76339	6.058033	7.017447	
Ubqln1	chr13	-	58176156	58215653	55.323219	56.650211	55.304832	46.79546	70.087082	69.534607	63.204483	65.68409	69.745476	64.972839	66.845917	68.397705	69.142136	71.767746	70.544838	74.857262	68.103485	68.800987	74.433319	70.307327	
Ubp1	chr9	+	113930934	113977201	11.239828	11.366115	11.522659	11.741074	13.273211	14.381143	13.338931	13.678308	13.356421	14.427537	13.627007	12.797576	11.729098	11.907872	12.074993	14.149238	10.798634	11.303068	12.622325	13.644263	
Ubox5	chr2	-	130589996	130630038	10.40577	10.676409	7.839024	8.406402	8.308672	8.434003	7.600378	6.714778	8.119798	7.979286	6.759921	7.437125	8.103728	8.230718	7.88898	8.102769	7.198096	6.584632	7.286969	7.428648	
Ubn2	chr6	+	38433925	38512763	2.013032	2.352784	1.993764	1.776091	2.329463	2.128692	1.652579	1.931014	2.16908	2.403709	1.577983	1.64291	2.457348	1.869763	1.396636	1.040312	2.198119	1.550213	1.526999	1.440792	
Ubn1	chr16	+	5050068	5086285	13.805642	13.353006	10.407262	9.776614	15.581452	16.208847	13.942224	14.073002	18.067131	19.103558	15.279058	15.520709	16.960505	18.388159	14.428016	14.500497	17.932932	16.50552	13.597248	13.779273	
Ublcp1	chr11	-	44454571	44470548	5.146925	6.052463	6.973506	5.519884	6.294083	5.550299	4.113911	5.001015	4.574411	4.435434	4.126763	4.301181	5.083395	4.73022	3.528219	4.224226	3.315401	3.98122	3.051054	3.319147	
Ubl7	chr9	+	57910986	57929968	168.466415	169.74173	181.41124	224.267303	117.457962	116.947578	131.995163	137.471756	79.64872	86.158813	95.715622	101.158592	80.747131	83.716354	82.951416	86.199661	56.639065	65.244339	61.346577	64.781113	
Ubl5	chr9	+	20643318	20646789	33.124466	36.645473	36.226154	42.5033	28.594446	30.894976	29.91153	30.295008	29.045645	31.163925	30.525349	30.358446	32.336796	31.025608	31.345749	28.884752	27.648123	36.654938	30.261492	31.667688	
Ubl4b	chr3	-	107553698	107555073	0.205083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ubl4a	chrX	-	74365718	74368548	34.374496	33.431469	24.729988	22.743502	37.246944	41.10194	33.559235	35.745377	41.084625	35.270168	35.504448	36.926086	34.214283	32.686653	32.867508	35.57003	31.573517	34.546951	31.549534	30.864054	
Ubl3	chr5	-	148504631	148552788	67.840912	72.413834	58.05777	54.415382	51.279755	50.02689	38.547291	38.915852	37.561218	37.44025	32.366268	33.146095	46.379208	44.360085	39.164066	38.03183	54.703133	57.61729	40.671093	41.087273	
Ubiad1	chr4	-	148434497	148444751	21.472889	19.899759	15.179847	16.546438	16.559708	17.719875	16.264391	15.936603	14.80436	15.156241	15.048941	15.805802	13.700757	14.240222	16.656216	15.125348	13.363892	13.430716	14.413591	13.740702	
Ubfd1	chr7	+	122067198	122082199	28.131205	29.469839	28.52594	27.405214	33.021141	31.517721	27.680895	28.680801	29.417814	30.437767	27.676678	25.697294	30.616913	28.453115	31.762739	28.119699	29.181965	27.554365	30.412992	28.881052	
Ube4bos3	chr4	+	149334639	149335912	0	0.721435	0.348558	0	0	0	0.672353	0.565221	0.744551	0	1.014739	0.418541	0.455951	0.329859	0.425384	0	0	0	0	0.556163	
Ube4b	chr4	-	149328416	149426631	20.188488	18.012842	19.395433	21.244938	23.685738	23.341551	21.830246	22.984936	23.373854	24.189642	22.837557	21.585287	23.889772	24.00959	21.12175	20.970015	22.408377	20.44566	22.066895	23.697258	
Ube4a	chr9	-	44923127	44965600	5.54045	5.562294	6.199685	4.477481	6.215663	5.721635	6.803134	5.159115	6.526196	6.257685	6.51878	6.584469	6.490911	5.563622	7.118394	5.109255	7.024665	5.796144	6.635232	5.52176	
Ube3c	chr5	+	29569242	29676077	20.696779	20.218485	23.248709	16.434237	26.333311	25.602812	25.678135	27.787294	26.335968	25.458366	28.495262	27.566467	23.30541	19.714874	25.427584	22.827501	23.415159	20.431009	25.542297	22.946878	
Ube3b	chr5	+	114380607	114421166	40.839001	36.646717	35.026485	37.229774	43.486176	39.913433	36.559795	37.481632	40.909424	39.12162	36.111977	37.13858	39.49905	38.006252	33.224796	33.697151	40.850189	34.277943	37.371124	36.195019	
Ube3a	chr7	+	59228750	59306727	20.73959	19.004143	23.331085	15.464957	25.439939	25.231529	22.427887	21.374001	26.086378	24.738829	21.513165	21.335459	25.937992	27.340929	20.756098	19.3813	23.856312	23.827925	21.095284	22.843145	
Ube2z	chr11	-	96047431	96065364	26.375719	26.127123	22.04431	22.741205	26.613634	23.374256	23.240625	23.634954	23.129032	21.661766	21.080166	21.294914	21.352001	17.932262	20.462656	16.614553	20.010798	16.097431	19.776344	17.9517	
